[2022-10-16 22:56:43] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_USER already exists!
[2022-10-16 22:56:52] INFO [http-nio-8080-exec-3] GroupDAOImpl.insert(37) | Save group  done!
[2022-10-16 22:56:52] INFO [http-nio-8080-exec-3] GroupController.addNew(51) | update group -----> edu.hanoi.jazz.dao.model.Group@2f8ebabf
[2022-10-16 22:57:44] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | context start application org.springframework.jdbc.datasource.DriverManagerDataSource@76437e9b
[2022-10-16 22:57:44] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_GROUP already exists!
[2022-10-16 22:57:44] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_USER already exists!
[2022-10-16 22:57:47] INFO [http-nio-8080-exec-5] GroupDAOImpl.delete(65) | Delete group  successfull
[2022-10-16 22:57:48] INFO [http-nio-8080-exec-7] GroupDAOImpl.delete(65) | Delete group Group5 successfull
[2022-10-16 22:58:10] INFO [http-nio-8080-exec-1] GroupDAOImpl.insert(37) | Save group Group5 done!
[2022-10-16 22:58:10] INFO [http-nio-8080-exec-1] GroupController.addNew(48) | update group -----> edu.hanoi.jazz.dao.model.Group@2629d003
[2022-10-16 23:00:04] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | context start application org.springframework.jdbc.datasource.DriverManagerDataSource@76437e9b
[2022-10-16 23:00:05] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_GROUP already exists!
[2022-10-16 23:00:05] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_USER already exists!
[2022-10-16 23:00:15] INFO [http-nio-8080-exec-3] GroupDAOImpl.insert(37) | Save group ad done!
[2022-10-16 23:00:15] INFO [http-nio-8080-exec-3] GroupController.addNew(48) | add new group -----> edu.hanoi.jazz.dao.model.Group@2de21d8a
[2022-10-16 23:14:47] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | context start application org.springframework.jdbc.datasource.DriverManagerDataSource@76437e9b
[2022-10-16 23:14:48] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_GROUP already exists!
[2022-10-16 23:14:48] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_USER already exists!
[2022-10-16 23:21:52] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | context start application org.springframework.jdbc.datasource.DriverManagerDataSource@76437e9b
[2022-10-16 23:21:52] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_GROUP already exists!
[2022-10-16 23:21:52] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_USER already exists!
[2022-10-16 23:22:03] INFO [http-nio-8080-exec-2] GroupDAOImpl.delete(65) | Delete group null successfull
[2022-10-16 23:22:21] INFO [http-nio-8080-exec-8] GroupDAOImpl.insert(37) | Save group hai done!
[2022-10-16 23:22:21] INFO [http-nio-8080-exec-8] GroupController.addNew(48) | add new group -----> edu.hanoi.jazz.dao.model.Group@120a9803
[2022-10-16 23:23:12] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | context start application org.springframework.jdbc.datasource.DriverManagerDataSource@76437e9b
[2022-10-16 23:23:12] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_GROUP already exists!
[2022-10-16 23:23:12] INFO [main] ContextStartEventHandler.createTable(45) | Table HN_USER already exists!
[2022-10-16 23:23:18] INFO [http-nio-8080-exec-8] GroupDAOImpl.insert(37) | Save group gnar done!
[2022-10-16 23:23:18] INFO [http-nio-8080-exec-8] GroupController.addNew(48) | add new group -----> edu.hanoi.jazz.dao.model.Group@31410de
